#NWSLID="EGGA2"
#RATING SHIFTED="08/05/1999"
#Egegik River below Becharof Lake near King Salmon AK,
#exported from SKED 05/02/2016,
#Stage [ft],Flow [cfs]
-0.12,0.00
-0.11,0.05
-0.10,0.17
-0.09,0.36
-0.08,0.62
-0.07,0.93
-0.06,1.30
-0.05,1.73
-0.04,2.21
-0.03,2.74
-0.02,3.33
-0.01,3.96
0.00,4.65
0.01,5.39
0.02,6.18
0.03,7.01
0.04,7.90
0.05,8.83
0.06,9.81
0.07,10.80
0.08,11.90
0.09,13.00
0.10,14.20
0.11,15.40
0.12,16.70
0.13,18.00
0.14,19.30
0.15,20.70
0.16,22.10
0.17,23.60
0.18,25.10
0.19,26.70
0.20,28.30
0.21,29.90
0.22,31.60
0.23,33.40
0.24,35.10
0.25,36.90
0.26,38.80
0.27,40.70
0.28,42.60
0.29,44.60
0.30,46.70
0.31,48.70
0.32,50.80
0.33,53.00
0.34,55.20
0.35,57.40
0.36,59.70
0.37,62.00
0.38,64.30
0.39,66.70
0.40,69.10
0.41,71.60
0.42,74.10
0.43,76.60
0.44,79.20
0.45,81.80
0.46,84.50
0.47,87.20
0.48,89.90
0.49,92.70
0.50,95.50
0.51,98.40
0.52,101.00
0.53,104.00
0.54,107.00
0.55,110.00
0.56,113.00
0.57,116.00
0.58,119.00
0.59,123.00
0.60,126.00
0.61,129.00
0.62,132.00
0.63,136.00
0.64,139.00
0.65,142.00
0.66,146.00
0.67,149.00
0.68,153.00
0.69,156.00
0.70,160.00
0.71,163.00
0.72,167.00
0.73,171.00
0.74,174.00
0.75,178.00
0.76,182.00
0.77,186.00
0.78,190.00
0.79,194.00
0.80,198.00
0.81,201.00
0.82,205.00
0.83,210.00
0.84,214.00
0.85,218.00
0.86,222.00
0.87,226.00
0.88,230.00
0.89,235.00
0.90,239.00
0.91,243.00
0.92,248.00
0.93,252.00
0.94,256.00
0.95,261.00
0.96,265.00
0.97,270.00
0.98,274.00
0.99,279.00
1.00,284.00
1.01,288.00
1.02,293.00
1.03,298.00
1.04,303.00
1.05,307.00
1.06,312.00
1.07,317.00
1.08,322.00
1.09,327.00
1.10,332.00
1.11,337.00
1.12,342.00
1.13,347.00
1.14,352.00
1.15,357.00
1.16,363.00
