#NWSLID="KBJA2"
#RATING SHIFTED="04/05/2010"
#Koyukuk River below John River at Old Bettles,
#Rating 1.b valid since 04/15/2010,
#exported from SKED 05/02/2016,
#
#Stage [ft],Flow [cfs]
9.00,0.00
9.01,11.10
9.02,22.10
9.03,33.00
9.04,43.70
9.05,54.20
9.06,64.50
9.07,74.40
9.08,83.90
9.09,92.90
9.10,101.00
9.11,109.00
9.12,117.00
9.13,124.00
9.14,129.00
9.15,135.00
9.16,139.00
9.17,143.00
9.18,147.00
9.19,150.00
9.20,153.00
9.21,156.00
9.22,158.00
9.23,160.00
9.24,162.00
9.25,164.00
9.26,166.00
9.27,169.00
9.28,171.00
9.29,174.00
9.30,177.00
9.31,180.00
9.32,183.00
9.33,187.00
9.34,190.00
9.35,194.00
9.36,198.00
9.37,202.00
9.38,206.00
9.39,210.00
9.40,215.00
9.41,219.00
9.42,223.00
9.43,228.00
9.44,232.00
9.45,236.00
9.46,240.00
9.47,245.00
9.48,249.00
9.49,253.00
9.50,258.00
9.51,262.00
9.52,266.00
9.53,271.00
9.54,275.00
9.55,280.00
9.56,284.00
9.57,289.00
9.58,293.00
9.59,298.00
9.60,303.00
9.61,308.00
9.62,312.00
9.63,317.00
9.64,322.00
9.65,327.00
9.66,332.00
9.67,337.00
9.68,342.00
9.69,348.00
9.70,353.00
9.71,358.00
9.72,364.00
9.73,369.00
9.74,374.00
9.75,380.00
9.76,385.00
9.77,391.00
9.78,397.00
9.79,402.00
9.80,408.00
9.81,414.00
9.82,420.00
9.83,425.00
9.84,431.00
9.85,437.00
9.86,443.00
9.87,449.00
9.88,455.00
9.89,462.00
9.90,468.00
9.91,474.00
9.92,480.00
9.93,487.00
9.94,493.00
9.95,499.00
9.96,506.00
9.97,512.00
9.98,519.00
9.99,526.00
10.00,532.00
10.01,539.00
10.02,546.00
10.03,553.00
10.04,559.00
10.05,566.00
10.06,573.00
10.07,580.00
10.08,587.00
10.09,595.00
10.10,602.00
10.11,609.00
10.12,616.00
10.13,624.00
10.14,631.00
10.15,638.00
10.16,646.00
10.17,654.00
10.18,661.00
10.19,669.00
10.20,676.00
10.21,684.00
10.22,692.00
10.23,700.00
10.24,708.00
10.25,716.00
10.26,724.00
10.27,732.00
10.28,740.00
10.29,748.00
10.30,756.00
10.31,765.00
10.32,773.00
10.33,781.00
10.34,790.00
10.35,798.00
10.36,807.00
10.37,815.00
10.38,824.00
10.39,833.00
10.40,842.00
10.41,850.00
10.42,859.00
10.43,868.00
10.44,877.00
10.45,886.00
10.46,895.00
10.47,904.00
10.48,914.00
10.49,923.00
10.50,932.00
10.51,942.00
