#NWSLID="KULA2"
#RATING SHIFTED="03/01/2013"
#Kulukak River above Kulukak Bay near Togiak AK,
#Rating 2.b valid since 03/01/2013,
#exported from SKED on 05/02/2016,
#
#Stage [ft],Flow [cfs]
93.91,0.00
93.92,0.59
93.93,1.56
93.94,2.77
93.95,4.15
93.96,5.69
93.97,7.35
93.98,9.14
93.99,11.00
94.00,13.00
94.01,15.10
94.02,17.30
94.03,19.50
94.04,21.90
94.05,24.30
94.06,26.80
94.07,29.30
94.08,31.90
94.09,34.60
94.10,37.40
94.11,40.20
94.12,43.00
94.13,46.00
94.14,48.90
94.15,52.00
94.16,55.00
94.17,58.20
94.18,61.30
94.19,64.60
94.20,67.90
94.21,71.20
94.22,74.50
94.23,78.00
94.24,81.40
94.25,84.90
94.26,88.50
94.27,92.00
94.28,95.70
94.29,99.30
94.30,103.00
94.31,107.00
94.32,111.00
94.33,114.00
94.34,118.00
94.35,122.00
94.36,126.00
94.37,130.00
94.38,134.00
94.39,138.00
94.40,142.00
94.41,146.00
94.42,150.00
94.43,155.00
94.44,159.00
94.45,163.00
94.46,167.00
94.47,172.00
94.48,176.00
94.49,180.00
94.50,185.00
94.51,190.00
94.52,196.00
94.53,201.00
94.54,207.00
94.55,212.00
94.56,218.00
94.57,224.00
94.58,230.00
94.59,236.00
94.60,242.00
94.61,248.00
94.62,254.00
94.63,260.00
94.64,266.00
94.65,272.00
94.66,279.00
94.67,285.00
94.68,292.00
94.69,298.00
94.70,305.00
94.71,311.00
94.72,318.00
94.73,325.00
94.74,332.00
94.75,338.00
94.76,345.00
94.77,351.00
94.78,358.00
94.79,365.00
94.80,371.00
94.81,378.00
94.82,384.00
94.83,391.00
94.84,398.00
94.85,405.00
94.86,412.00
94.87,418.00
94.88,425.00
94.89,432.00
94.90,439.00
94.91,446.00
94.92,454.00
94.93,461.00
94.94,468.00
94.95,475.00
94.96,482.00
94.97,489.00
94.98,496.00
94.99,503.00
95.00,510.00
95.01,517.00
95.02,525.00
95.03,532.00
95.04,539.00
95.05,547.00
95.06,554.00
95.07,561.00
95.08,569.00
95.09,576.00
95.10,584.00
95.11,591.00
95.12,599.00
95.13,607.00
95.14,614.00
95.15,622.00
95.16,630.00
95.17,638.00
95.18,645.00
95.19,653.00
95.20,661.00
95.21,669.00
95.22,677.00
95.23,685.00
95.24,693.00
95.25,701.00
95.26,709.00
95.27,717.00
95.28,725.00
95.29,733.00
95.30,741.00
95.31,750.00
95.32,758.00
95.33,766.00
95.34,775.00
95.35,783.00
95.36,791.00
95.37,800.00
95.38,808.00
95.39,817.00
95.40,825.00
95.41,834.00
95.42,842.00
95.43,851.00
95.44,859.00
95.45,868.00
95.46,877.00
95.47,886.00
95.48,894.00
95.49,903.00
95.50,912.00
95.51,921.00
95.52,930.00
95.53,938.00
95.54,947.00
95.55,956.00
95.56,965.00
95.57,974.00
95.58,983.00
95.59,992.00
95.60,1000.00
95.61,1010.00
95.62,1020.00
95.63,1030.00
95.64,1040.00
95.65,1050.00
95.66,1060.00
95.67,1060.00
95.68,1070.00
95.69,1080.00
95.70,1090.00
95.71,1100.00
95.72,1110.00
95.73,1120.00
95.74,1130.00
95.75,1140.00
95.76,1150.00
95.77,1160.00
95.78,1170.00
95.79,1180.00
95.80,1190.00
95.81,1200.00
95.82,1200.00
95.83,1210.00
95.84,1220.00
95.85,1230.00
95.86,1240.00
95.87,1250.00
95.88,1260.00
95.89,1270.00
95.90,1280.00
95.91,1290.00
95.92,1300.00
95.93,1310.00
95.94,1320.00
95.95,1330.00
95.96,1340.00
95.97,1350.00
95.98,1360.00
95.99,1370.00
96.00,1380.00
96.01,1390.00
96.02,1400.00
96.03,1410.00
96.04,1420.00
96.05,1430.00
96.06,1440.00
96.07,1450.00
96.08,1460.00
96.09,1470.00
96.10,1480.00
96.11,1490.00
96.12,1500.00
96.13,1510.00
96.14,1520.00
96.15,1530.00
96.16,1540.00
96.17,1550.00
96.18,1560.00
96.19,1570.00
96.20,1580.00
96.21,1590.00
96.22,1610.00
96.23,1620.00
96.24,1630.00
96.25,1640.00
96.26,1650.00
96.27,1660.00
96.28,1670.00
96.29,1680.00
96.30,1690.00
96.31,1700.00
96.32,1710.00
96.33,1720.00
96.34,1730.00
96.35,1740.00
96.36,1750.00
96.37,1760.00
96.38,1770.00
96.39,1790.00
96.40,1800.00
96.41,1810.00
96.42,1820.00
96.43,1830.00
96.44,1840.00
96.45,1850.00
96.46,1860.00
96.47,1870.00
96.48,1880.00
96.49,1890.00
96.50,1900.00
96.51,1920.00
96.52,1930.00
96.53,1940.00
96.54,1950.00
96.55,1960.00
96.56,1970.00
96.57,1980.00
96.58,1990.00
96.59,2000.00
96.60,2020.00
96.61,2030.00
96.62,2040.00
96.63,2050.00
96.64,2060.00
96.65,2070.00
96.66,2080.00
96.67,2090.00
96.68,2100.00
96.69,2120.00
96.70,2130.00
96.71,2140.00
96.72,2150.00
96.73,2160.00
96.74,2170.00
96.75,2180.00
96.76,2200.00
96.77,2210.00
96.78,2220.00
96.79,2230.00
96.80,2240.00
96.81,2250.00
96.82,2270.00
96.83,2280.00
96.84,2290.00
96.85,2300.00
96.86,2310.00
96.87,2320.00
96.88,2340.00
96.89,2350.00
96.90,2360.00
96.91,2370.00
96.92,2380.00
96.93,2390.00
96.94,2410.00
96.95,2420.00
96.96,2430.00
96.97,2440.00
96.98,2450.00
96.99,2470.00
97.00,2480.00
97.01,2490.00
97.02,2500.00
97.03,2510.00
97.04,2520.00
97.05,2540.00
97.06,2550.00
97.07,2560.00
97.08,2570.00
97.09,2590.00
97.10,2600.00
97.11,2610.00
97.12,2620.00
97.13,2630.00
97.14,2650.00
97.15,2660.00
97.16,2670.00
97.17,2680.00
97.18,2690.00
97.19,2710.00
97.20,2720.00
97.21,2730.00
97.22,2740.00
97.23,2760.00
97.24,2770.00
97.25,2780.00
97.26,2790.00
97.27,2810.00
97.28,2820.00
97.29,2830.00
97.30,2840.00
97.31,2860.00
97.32,2870.00
97.33,2880.00
97.34,2890.00
97.35,2910.00
97.36,2920.00
97.37,2930.00
97.38,2940.00
97.39,2960.00
97.40,2970.00
97.41,2980.00
97.42,2990.00
97.43,3010.00
97.44,3020.00
97.45,3030.00
97.46,3050.00
97.47,3060.00
97.48,3070.00
97.49,3080.00
97.50,3100.00
97.51,3110.00
97.52,3120.00
97.53,3140.00
97.54,3150.00
97.55,3160.00
97.56,3170.00
97.57,3190.00
97.58,3200.00
97.59,3210.00
97.60,3230.00
97.61,3240.00
97.62,3250.00
97.63,3270.00
97.64,3280.00
97.65,3290.00
97.66,3300.00
97.67,3320.00
97.68,3330.00
97.69,3340.00
97.70,3360.00
97.71,3370.00
97.72,3380.00
97.73,3400.00
97.74,3410.00
97.75,3420.00
97.76,3440.00
97.77,3450.00
97.78,3460.00
97.79,3480.00
97.80,3490.00
97.81,3500.00
97.82,3520.00
97.83,3530.00
97.84,3540.00
97.85,3560.00
97.86,3570.00
97.87,3580.00
97.88,3600.00
97.89,3610.00
97.90,3620.00
97.91,3640.00
97.92,3650.00
97.93,3670.00
97.94,3680.00
97.95,3690.00
97.96,3710.00
97.97,3720.00
97.98,3730.00
97.99,3750.00
98.00,3760.00
98.01,3770.00
98.02,3790.00
98.03,3800.00
98.04,3820.00
98.05,3830.00
98.06,3840.00
98.07,3860.00
98.08,3870.00
98.09,3880.00
98.10,3900.00
98.11,3910.00
98.12,3930.00
98.13,3940.00
98.14,3950.00
98.15,3970.00
98.16,3980.00
98.17,4000.00
98.18,4010.00
98.19,4020.00
98.20,4040.00
98.21,4050.00
98.22,4070.00
98.23,4080.00
98.24,4090.00
98.25,4110.00
98.26,4120.00
98.27,4140.00
98.28,4150.00
98.29,4160.00
98.30,4180.00
98.31,4190.00
98.32,4210.00
98.33,4220.00
98.34,4240.00
98.35,4250.00
98.36,4260.00
98.37,4280.00
98.38,4290.00
98.39,4310.00
98.40,4320.00
98.41,4340.00
98.42,4350.00
98.43,4360.00
98.44,4380.00
98.45,4390.00
98.46,4410.00
98.47,4420.00
98.48,4440.00
98.49,4450.00
98.50,4470.00
98.51,4480.00
98.52,4490.00
98.53,4510.00
98.54,4520.00
98.55,4540.00
98.56,4550.00
98.57,4570.00
98.58,4580.00
98.59,4600.00
98.60,4610.00
98.61,4630.00
98.62,4640.00
98.63,4650.00
98.64,4670.00
98.65,4690.00
98.66,4700.00
98.67,4720.00
98.68,4730.00
98.69,4750.00
98.70,4760.00
98.71,4780.00
98.72,4800.00
98.73,4810.00
98.74,4830.00
98.75,4840.00
98.76,4860.00
98.77,4880.00
98.78,4890.00
98.79,4910.00
98.80,4920.00
98.81,4940.00
98.82,4960.00
98.83,4970.00
98.84,4990.00
98.85,5000.00
98.86,5020.00
98.87,5040.00
98.88,5050.00
98.89,5070.00
98.90,5080.00
98.91,5100.00
98.92,5120.00
98.93,5130.00
98.94,5150.00
98.95,5160.00
98.96,5180.00
98.97,5200.00
98.98,5210.00
98.99,5230.00
99.00,5250.00
99.01,5260.00
99.02,5280.00
99.03,5300.00
99.04,5310.00
99.05,5330.00
99.06,5340.00
99.07,5360.00
99.08,5380.00
99.09,5390.00
99.10,5410.00
99.11,5430.00
99.12,5440.00
99.13,5460.00
99.14,5480.00
99.15,5490.00
99.16,5510.00
99.17,5530.00
99.18,5540.00
99.19,5560.00
99.20,5580.00
99.21,5590.00
99.22,5610.00
99.23,5630.00
99.24,5640.00
99.25,5660.00
99.26,5680.00
99.27,5690.00
99.28,5710.00
99.29,5730.00
99.30,5750.00
99.31,5760.00
99.32,5780.00
99.33,5800.00
99.34,5810.00
99.35,5830.00
99.36,5850.00
99.37,5860.00
99.38,5880.00
99.39,5900.00
99.40,5920.00
99.41,5930.00
99.42,5950.00
99.43,5970.00
99.44,5980.00
99.45,6000.00
99.46,6020.00
99.47,6040.00
99.48,6050.00
99.49,6070.00
99.50,6090.00
99.51,6100.00
99.52,6120.00
99.53,6140.00
99.54,6160.00
99.55,6170.00
99.56,6190.00
99.57,6210.00
99.58,6230.00
99.59,6240.00
99.60,6260.00
99.61,6280.00
99.62,6300.00
99.63,6310.00
99.64,6330.00
99.65,6350.00
99.66,6370.00
99.67,6380.00
99.68,6400.00
99.69,6420.00
99.70,6440.00
99.71,6450.00
99.72,6470.00
99.73,6490.00
99.74,6510.00
99.75,6530.00
99.76,6540.00
99.77,6560.00
99.78,6580.00
99.79,6600.00
99.80,6610.00
99.81,6630.00
99.82,6650.00
99.83,6670.00
99.84,6690.00
99.85,6700.00
99.86,6720.00
99.87,6740.00
99.88,6760.00
99.89,6780.00
99.90,6790.00
99.91,6810.00
99.92,6830.00
99.93,6850.00
99.94,6870.00
99.95,6880.00
99.96,6900.00
99.97,6920.00
99.98,6940.00
99.99,6960.00
100.00,6970.00
100.01,6990.00
100.02,7010.00
100.03,7030.00
100.04,7050.00
100.05,7070.00
100.06,7080.00
100.07,7100.00
100.08,7120.00
100.09,7140.00
100.10,7160.00
100.11,7180.00
100.12,7190.00
100.13,7210.00
100.14,7230.00
100.15,7250.00
100.16,7270.00
100.17,7290.00
100.18,7300.00
100.19,7320.00
100.20,7340.00
100.21,7360.00
100.22,7380.00
100.23,7400.00
100.24,7420.00
100.25,7430.00
100.26,7450.00
100.27,7470.00
100.28,7490.00
100.29,7510.00
100.30,7530.00
100.31,7550.00
100.32,7560.00
100.33,7580.00
100.34,7600.00
100.35,7620.00
100.36,7640.00
100.37,7660.00
100.38,7680.00
100.39,7700.00
100.40,7720.00
100.41,7730.00
100.42,7750.00
100.43,7770.00
100.44,7790.00
100.45,7810.00
100.46,7830.00
100.47,7850.00
100.48,7870.00
100.49,7890.00
100.50,7900.00
100.51,7920.00
100.52,7940.00
100.53,7960.00
100.54,7980.00
100.55,8000.00
100.56,8020.00
100.57,8040.00
100.58,8060.00
100.59,8080.00
100.60,8100.00
100.61,8120.00
100.62,8130.00
100.63,8150.00
100.64,8170.00
100.65,8190.00
100.66,8210.00
100.67,8230.00
100.68,8250.00
100.69,8270.00
100.70,8290.00
100.71,8310.00
100.72,8330.00
100.73,8350.00
100.74,8370.00
100.75,8390.00
100.76,8410.00
100.77,8420.00
100.78,8440.00
100.79,8460.00
100.80,8480.00
100.81,8500.00
100.82,8520.00
100.83,8540.00
100.84,8560.00
100.85,8580.00
100.86,8600.00
100.87,8620.00
100.88,8640.00
100.89,8660.00
100.90,8680.00
100.91,8700.00
100.92,8720.00
100.93,8740.00
100.94,8760.00
100.95,8780.00
100.96,8800.00
100.97,8820.00
100.98,8840.00
100.99,8860.00
101.00,8880.00
