#NWSLID="NABA2"
#RATING SHIFTED="09/11/2004"
#Nabesna River near Northway AK,
#Rating 1.a valid since 09/11/2004,
#exported from SKED 05/02/2016,
#
#Stage [ft],Flow [cfs]
16.59,0.00
16.60,0.01
16.61,0.06
16.62,0.13
16.63,0.25
16.64,0.40
16.65,0.59
16.66,0.82
16.67,1.09
16.68,1.40
16.69,1.75
16.70,2.15
16.71,2.59
16.72,3.07
16.73,3.60
16.74,4.18
16.75,4.80
16.76,5.46
16.77,6.17
16.78,6.93
16.79,7.73
16.80,8.59
16.81,9.49
16.82,10.40
16.83,11.40
16.84,12.50
16.85,13.60
16.86,14.70
16.87,15.90
16.88,17.10
16.89,18.40
16.90,19.80
16.91,21.20
16.92,22.60
16.93,24.10
16.94,25.60
16.95,27.20
16.96,28.90
16.97,30.60
16.98,32.30
16.99,34.10
17.00,36.00
17.01,37.90
17.02,39.90
17.03,41.90
17.04,43.90
17.05,46.00
17.06,48.20
17.07,50.40
17.08,52.70
17.09,55.00
17.10,57.40
17.11,59.90
17.12,62.40
17.13,64.90
17.14,67.50
17.15,70.20
17.16,72.90
17.17,75.70
17.18,78.50
17.19,81.30
17.20,84.30
17.21,87.30
17.22,90.30
17.23,93.40
17.24,96.60
17.25,99.80
17.26,103.00
17.27,106.00
17.28,110.00
17.29,113.00
17.30,117.00
17.31,120.00
17.32,124.00
17.33,127.00
17.34,131.00
17.35,135.00
17.36,139.00
17.37,143.00
17.38,147.00
17.39,151.00
17.40,155.00
17.41,159.00
17.42,163.00
17.43,167.00
17.44,172.00
17.45,176.00
17.46,180.00
17.47,185.00
17.48,189.00
17.49,194.00
17.50,199.00
17.51,203.00
17.52,208.00
17.53,213.00
17.54,218.00
17.55,223.00
17.56,228.00
17.57,233.00
17.58,238.00
17.59,243.00
17.60,248.00
17.61,253.00
17.62,259.00
17.63,264.00
17.64,270.00
17.65,275.00
17.66,281.00
17.67,286.00
17.68,292.00
17.69,298.00
17.70,304.00
17.71,310.00
17.72,316.00
17.73,322.00
17.74,328.00
17.75,334.00
17.76,340.00
17.77,346.00
17.78,353.00
17.79,359.00
17.80,365.00
17.81,372.00
17.82,379.00
17.83,385.00
17.84,392.00
17.85,399.00
17.86,405.00
17.87,412.00
17.88,419.00
17.89,426.00
17.90,433.00
17.91,440.00
17.92,448.00
17.93,455.00
17.94,462.00
17.95,469.00
17.96,477.00
17.97,484.00
17.98,492.00
17.99,499.00
18.00,507.00
18.01,515.00
18.02,523.00
18.03,531.00
18.04,538.00
18.05,546.00
18.06,554.00
18.07,563.00
18.08,571.00
18.09,579.00
18.10,587.00
18.11,596.00
18.12,604.00
18.13,613.00
18.14,621.00
18.15,630.00
18.16,638.00
18.17,647.00
18.18,656.00
18.19,665.00
18.20,674.00
18.21,683.00
18.22,692.00
18.23,701.00
18.24,710.00
18.25,719.00
18.26,729.00
18.27,738.00
18.28,748.00
18.29,757.00
18.30,767.00
18.31,776.00
18.32,786.00
18.33,796.00
18.34,806.00
18.35,815.00
18.36,825.00
18.37,835.00
18.38,845.00
18.39,856.00
18.40,866.00
18.41,876.00
18.42,886.00
18.43,897.00
18.44,907.00
18.45,918.00
18.46,928.00
18.47,939.00
18.48,950.00
18.49,961.00
18.50,972.00
18.51,982.00
18.52,993.00
18.53,1000.00
18.54,1020.00
18.55,1030.00
18.56,1040.00
18.57,1050.00
18.58,1060.00
18.59,1070.00
18.60,1080.00
18.61,1100.00
18.62,1110.00
18.63,1120.00
18.64,1130.00
18.65,1140.00
18.66,1150.00
18.67,1170.00
18.68,1180.00
18.69,1190.00
18.70,1200.00
18.71,1210.00
18.72,1230.00
18.73,1240.00
18.74,1250.00
18.75,1260.00
18.76,1280.00
18.77,1290.00
18.78,1300.00
18.79,1320.00
18.80,1330.00
18.81,1340.00
18.82,1350.00
18.83,1370.00
18.84,1380.00
18.85,1390.00
18.86,1410.00
18.87,1420.00
18.88,1430.00
18.89,1450.00
18.90,1460.00
18.91,1470.00
18.92,1490.00
18.93,1500.00
18.94,1510.00
18.95,1530.00
18.96,1540.00
18.97,1560.00
18.98,1570.00
18.99,1580.00
19.00,1600.00
19.01,1610.00
19.02,1630.00
19.03,1640.00
19.04,1660.00
19.05,1670.00
19.06,1690.00
19.07,1700.00
19.08,1710.00
19.09,1730.00
19.10,1740.00
19.11,1760.00
19.12,1770.00
19.13,1790.00
19.14,1800.00
19.15,1820.00
19.16,1830.00
19.17,1850.00
19.18,1870.00
19.19,1880.00
19.20,1900.00
19.21,1910.00
19.22,1930.00
19.23,1940.00
19.24,1960.00
19.25,1980.00
19.26,1990.00
19.27,2010.00
19.28,2020.00
19.29,2040.00
19.30,2060.00
19.31,2070.00
19.32,2090.00
19.33,2100.00
19.34,2120.00
19.35,2140.00
19.36,2150.00
19.37,2170.00
19.38,2190.00
19.39,2200.00
19.40,2220.00
19.41,2240.00
19.42,2260.00
19.43,2270.00
19.44,2290.00
19.45,2310.00
19.46,2320.00
19.47,2340.00
19.48,2360.00
19.49,2380.00
19.50,2390.00
19.51,2410.00
19.52,2430.00
19.53,2450.00
19.54,2470.00
19.55,2480.00
19.56,2500.00
19.57,2520.00
19.58,2540.00
19.59,2560.00
19.60,2570.00
19.61,2590.00
19.62,2610.00
19.63,2630.00
19.64,2650.00
19.65,2670.00
19.66,2680.00
19.67,2700.00
19.68,2720.00
19.69,2740.00
19.70,2760.00
19.71,2780.00
19.72,2800.00
19.73,2820.00
19.74,2840.00
19.75,2860.00
19.76,2880.00
19.77,2900.00
19.78,2910.00
