#NWSLID="SCOA2"
#RATING SHIFTED="06/15/2005"
#Scottie River near Northway AK,
#Rating 1.d valid since 06/15/2005,
#exported from SKED 05/02/2016,
#
#Stage [ft],Flow [cfs]
2.49,0.00
2.50,0.00
2.51,0.00
2.52,0.00
2.53,0.00
2.54,0.00
2.55,0.01
2.56,0.01
2.57,0.01
2.58,0.01
2.59,0.01
2.60,0.01
2.61,0.01
2.62,0.02
2.63,0.02
2.64,0.02
2.65,0.02
2.66,0.03
2.67,0.03
2.68,0.03
2.69,0.04
2.70,0.04
2.71,0.04
2.72,0.05
2.73,0.05
2.74,0.06
2.75,0.06
2.76,0.07
2.77,0.08
2.78,0.08
2.79,0.09
2.80,0.09
2.81,0.10
2.82,0.11
2.83,0.12
2.84,0.13
2.85,0.13
2.86,0.14
2.87,0.15
2.88,0.16
2.89,0.17
2.90,0.18
2.91,0.19
2.92,0.20
2.93,0.21
2.94,0.22
2.95,0.24
2.96,0.25
2.97,0.26
2.98,0.27
2.99,0.29
3.00,0.30
3.01,0.31
3.02,0.33
3.03,0.34
3.04,0.36
3.05,0.37
3.06,0.39
3.07,0.40
3.08,0.42
3.09,0.44
3.10,0.45
3.11,0.47
3.12,0.49
3.13,0.51
3.14,0.52
3.15,0.54
3.16,0.56
3.17,0.58
3.18,0.60
3.19,0.62
3.20,0.64
3.21,0.66
3.22,0.69
3.23,0.71
3.24,0.73
3.25,0.75
3.26,0.78
3.27,0.80
3.28,0.82
3.29,0.85
3.30,0.87
3.31,0.90
3.32,0.92
3.33,0.95
3.34,0.98
3.35,1.00
3.36,1.03
3.37,1.06
3.38,1.09
3.39,1.12
3.40,1.15
3.41,1.17
3.42,1.20
3.43,1.24
3.44,1.27
3.45,1.30
3.46,1.33
3.47,1.36
3.48,1.39
3.49,1.43
3.50,1.46
3.51,1.49
3.52,1.53
3.53,1.56
3.54,1.60
3.55,1.63
3.56,1.67
3.57,1.71
3.58,1.74
3.59,1.78
3.60,1.82
3.61,1.86
3.62,1.90
3.63,1.94
3.64,1.98
3.65,2.02
3.66,2.06
3.67,2.10
3.68,2.14
3.69,2.18
3.70,2.23
3.71,2.27
3.72,2.31
3.73,2.36
3.74,2.40
3.75,2.45
3.76,2.49
3.77,2.54
3.78,2.59
3.79,2.63
3.80,2.68
3.81,2.73
3.82,2.78
3.83,2.83
3.84,2.88
3.85,2.93
3.86,2.98
3.87,3.03
3.88,3.08
3.89,3.13
3.90,3.19
3.91,3.24
3.92,3.29
3.93,3.35
3.94,3.40
3.95,3.46
3.96,3.51
3.97,3.57
3.98,3.63
3.99,3.68
4.00,3.74
4.01,3.80
4.02,3.86
4.03,3.92
4.04,3.98
4.05,4.04
4.06,4.10
4.07,4.16
4.08,4.22
4.09,4.28
4.10,4.34
4.11,4.41
4.12,4.47
4.13,4.54
4.14,4.60
4.15,4.67
4.16,4.73
4.17,4.80
4.18,4.87
4.19,4.94
4.20,5.01
4.21,5.08
4.22,5.15
4.23,5.22
4.24,5.29
4.25,5.36
4.26,5.43
4.27,5.51
4.28,5.58
4.29,5.66
4.30,5.73
4.31,5.81
4.32,5.88
4.33,5.96
4.34,6.03
4.35,6.11
4.36,6.18
4.37,6.26
4.38,6.33
4.39,6.41
4.40,6.48
4.41,6.56
4.42,6.64
4.43,6.71
4.44,6.79
4.45,6.86
4.46,6.94
4.47,7.01
4.48,7.09
4.49,7.16
4.50,7.24
4.51,7.32
4.52,7.39
4.53,7.47
4.54,7.55
4.55,7.63
4.56,7.70
