#NWSLID="TOGA2"
#RATING SHIFTED="10/01/1999"
#Togiak River 2 miles above Pungokepuk Creek near Togiak AK,
#Rating 1.a valid since 10/01/1999,
#exported from SKED on 05/02/2016,
#
#Stage [ft],Flow [cfs]
86.89,0.00
86.90,1110.00
86.91,1180.00
86.92,1220.00
86.93,1250.00
86.94,1280.00
86.95,1300.00
86.96,1320.00
86.97,1330.00
86.98,1350.00
86.99,1380.00
87.00,1400.00
87.01,1410.00
87.02,1430.00
87.03,1450.00
87.04,1460.00
87.05,1480.00
87.06,1500.00
87.07,1520.00
87.08,1540.00
87.09,1560.00
87.10,1580.00
87.11,1600.00
87.12,1610.00
87.13,1630.00
87.14,1650.00
87.15,1660.00
87.16,1680.00
87.17,1700.00
87.18,1720.00
87.19,1740.00
87.20,1760.00
87.21,1770.00
87.22,1790.00
87.23,1810.00
87.24,1820.00
87.25,1840.00
87.26,1860.00
87.27,1880.00
87.28,1900.00
87.29,1920.00
87.30,1940.00
87.31,1950.00
87.32,1970.00
87.33,1990.00
87.34,2010.00
87.35,2030.00
87.36,2050.00
87.37,2070.00
87.38,2080.00
87.39,2100.00
87.40,2120.00
87.41,2130.00
87.42,2150.00
87.43,2170.00
87.44,2190.00
87.45,2210.00
87.46,2230.00
87.47,2250.00
87.48,2260.00
87.49,2280.00
87.50,2300.00
87.51,2320.00
87.52,2340.00
87.53,2350.00
87.54,2370.00
87.55,2390.00
87.56,2400.00
87.57,2420.00
87.58,2440.00
87.59,2460.00
87.60,2480.00
87.61,2500.00
87.62,2520.00
87.63,2540.00
87.64,2560.00
87.65,2580.00
87.66,2590.00
87.67,2610.00
87.68,2630.00
87.69,2650.00
87.70,2670.00
87.71,2690.00
87.72,2710.00
87.73,2740.00
87.74,2760.00
87.75,2780.00
87.76,2800.00
87.77,2830.00
87.78,2850.00
87.79,2870.00
87.80,2890.00
87.81,2910.00
87.82,2940.00
87.83,2960.00
87.84,2980.00
87.85,3000.00
87.86,3030.00
87.87,3050.00
87.88,3080.00
87.89,3100.00
87.90,3120.00
87.91,3150.00
87.92,3170.00
87.93,3200.00
87.94,3220.00
87.95,3240.00
87.96,3270.00
87.97,3290.00
87.98,3310.00
87.99,3340.00
88.00,3360.00
88.01,3390.00
88.02,3410.00
88.03,3430.00
88.04,3460.00
88.05,3480.00
88.06,3500.00
88.07,3530.00
88.08,3550.00
88.09,3570.00
88.10,3600.00
88.11,3620.00
88.12,3640.00
88.13,3660.00
88.14,3690.00
88.15,3710.00
88.16,3740.00
88.17,3770.00
88.18,3800.00
88.19,3820.00
88.20,3850.00
88.21,3880.00
88.22,3910.00
88.23,3940.00
88.24,3960.00
88.25,3990.00
88.26,4020.00
88.27,4050.00
88.28,4070.00
88.29,4100.00
88.30,4130.00
88.31,4160.00
88.32,4190.00
88.33,4210.00
88.34,4240.00
88.35,4270.00
88.36,4300.00
88.37,4320.00
88.38,4350.00
88.39,4380.00
88.40,4410.00
88.41,4430.00
88.42,4460.00
88.43,4490.00
88.44,4520.00
88.45,4550.00
88.46,4580.00
88.47,4610.00
88.48,4640.00
88.49,4670.00
88.50,4700.00
88.51,4730.00
88.52,4760.00
88.53,4790.00
88.54,4820.00
88.55,4850.00
88.56,4880.00
88.57,4910.00
88.58,4940.00
88.59,4970.00
88.60,5000.00
88.61,5030.00
88.62,5060.00
88.63,5090.00
88.64,5130.00
88.65,5160.00
88.66,5190.00
88.67,5220.00
88.68,5250.00
88.69,5280.00
88.70,5310.00
88.71,5340.00
88.72,5370.00
88.73,5400.00
88.74,5430.00
88.75,5460.00
88.76,5490.00
88.77,5520.00
88.78,5550.00
88.79,5580.00
88.80,5610.00
88.81,5640.00
88.82,5670.00
88.83,5710.00
88.84,5740.00
88.85,5780.00
88.86,5810.00
88.87,5840.00
88.88,5880.00
88.89,5910.00
88.90,5950.00
88.91,5980.00
88.92,6020.00
88.93,6050.00
88.94,6080.00
88.95,6120.00
88.96,6150.00
88.97,6190.00
88.98,6220.00
88.99,6260.00
89.00,6290.00
89.01,6330.00
89.02,6360.00
89.03,6400.00
89.04,6430.00
89.05,6470.00
89.06,6500.00
89.07,6530.00
89.08,6570.00
89.09,6600.00
89.10,6640.00
89.11,6670.00
89.12,6710.00
89.13,6740.00
89.14,6780.00
89.15,6810.00
89.16,6850.00
89.17,6880.00
89.18,6920.00
89.19,6950.00
89.20,6990.00
89.21,7020.00
89.22,7060.00
89.23,7090.00
89.24,7130.00
89.25,7160.00
89.26,7200.00
89.27,7240.00
89.28,7270.00
89.29,7310.00
89.30,7340.00
89.31,7380.00
89.32,7410.00
89.33,7450.00
89.34,7480.00
89.35,7520.00
89.36,7550.00
89.37,7590.00
89.38,7620.00
89.39,7660.00
89.40,7700.00
89.41,7730.00
89.42,7770.00
89.43,7800.00
89.44,7840.00
89.45,7870.00
89.46,7910.00
89.47,7950.00
89.48,7980.00
89.49,8020.00
89.50,8050.00
89.51,8090.00
89.52,8120.00
89.53,8160.00
89.54,8200.00
89.55,8230.00
89.56,8270.00
89.57,8300.00
89.58,8340.00
89.59,8380.00
89.60,8410.00
89.61,8450.00
89.62,8480.00
89.63,8520.00
89.64,8560.00
89.65,8590.00
89.66,8630.00
89.67,8660.00
89.68,8700.00
89.69,8740.00
89.70,8770.00
89.71,8810.00
89.72,8850.00
89.73,8880.00
89.74,8920.00
89.75,8950.00
89.76,8990.00
89.77,9030.00
89.78,9060.00
89.79,9100.00
89.80,9140.00
89.81,9170.00
89.82,9210.00
89.83,9250.00
89.84,9280.00
89.85,9320.00
89.86,9360.00
89.87,9390.00
89.88,9430.00
89.89,9470.00
89.90,9500.00
89.91,9540.00
89.92,9570.00
89.93,9610.00
89.94,9650.00
89.95,9690.00
89.96,9720.00
89.97,9760.00
89.98,9800.00
89.99,9830.00
90.00,9870.00
90.01,9910.00
90.02,9940.00
90.03,9980.00
90.04,10000.00
90.05,10100.00
